store_number,store_name,dba,address,address_line_2,city,state,zip_code,country,phone_number,store_type,website_address,latitude,longitude,country_code,county,geo_accuracy
72de83db-458a-e111-8dde-005056934050,"Rte 561 &browning Lane, Woodcrest Shopping Ctr.",Goodwill Industries,David & Joyce Milne Library,,Williamstown,MA,01267,United States,(413) 442-0061,Donation Center,Http://www.goodwill-berkshires.com,42.7130869,-73.2116419,US,Berkshire,PREMISE: ROOFTOP
D06c7be7-458a-e111-8dde-005056934050,818 Delsea Dr N Store,Goodwill Industries,Hopkinton Rd,,Westborough,MA,01581,United States,,Donation Center,Http://www.goodwillmass.org,42.3583068,-71.24221916,US,Worcester,AGGDATA_VERIFIED: ROOFTOP
C1c2d546-653b-e911-80e0-00505689ac90,Goodwill Home Medical Equipment,Goodwill Industries,25 Park Ave,,Worcester,MA,01605,United States,(508) 752-4042,"Donation Center,retail Store",Http://www.goodwillmass.org,42.28353007,-71.8078582,US,Worcester,AGGDATA_VERIFIED: ROOFTOP
6cf083cc-d787-e211-87d7-0050568924e6,Outlet Store,Goodwill Industries,211 Sudbury Road,,Concord,MA,01742,United States,,Donation Center,Http://www.goodwillmass.org,42.45387714,-71.35580873,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
0d0896f5-f932-e211-bd7d-005056934050,Haddonfield Attended Donation Center,Goodwill Industries,Cordaville Rd,,Southborough,MA,01760,United States,,Donation Center,Http://www.goodwillmass.org,42.35898231,-71.43093708,US,Worcester,AGGDATA_VERIFIED: ROOFTOP
6c1487c8-04fa-eb11-80f4-00505689ac90,"Cherry Hill, Nj/kresson Road Donation Center",Goodwill Industries,Boston Post Road,,Sudbury,MA,01776,United States,,Donation Center,Http://www.goodwillmass.org,42.35894897,-71.43100475,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
D8dfb599-458a-e111-8dde-005056934050,200 N White Horse Pike Store,Goodwill Industries,Boston Post Rd (rt 20),,Wayland,MA,01778,United States,,Donation Center,Http://www.goodwillmass.org,42.36314934,-71.38447108,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
41923165-9c25-e911-80e0-00505689ac90,Voorhees Attended Donation Center,Goodwill Industries,400 Cambridge Street,,Woburn,MA,01801,United States,,Donation Center,Http://www.goodwillmass.org,42.45995473,-71.16287205,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
3951053a-458a-e111-8dde-005056934050,4314 Route 130 Store,Goodwill Industries,299 Chelmsford St,,Chelmsford,MA,01824,United States,,Donation Center,Http://www.goodwillmass.org,42.6118488,-71.32929677,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
37de83db-458a-e111-8dde-005056934050,1626 Route 38,Goodwill Industries,757 Turnpike Street,,North Andover,MA,01845,United States,,Donation Center,Http://www.goodwillmass.org,42.66004716,-71.10975981,US,Essex,AGGDATA_VERIFIED: ROOFTOP
4cc8d8b9-1520-e911-80e0-00505689ac90,Maple Shade Store & Donation Center,Goodwill Industries,1342 Main Street,,Reading,MA,01867,United States,,Donation Center,Http://www.goodwillmass.org,42.55475999,-71.10632239,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
6aeb6cff-458a-e111-8dde-005056934050,Goodwill Industries Of Southern New Jersey And Philadelphia,Goodwill Industries,450 Paradise Rd,,Swampscott,MA,01907,United States,,Donation Center,Http://www.goodwillmass.org,42.48384552,-70.90694473,US,Essex,AGGDATA_VERIFIED: ROOFTOP
5a4ee869-458a-e111-8dde-005056934050,Mount Laurel Adc,Goodwill Industries,301 Newbury Street,,Danvers,MA,01923,United States,(978) 791-0600,"Donation Center,retail Store",Http://www.goodwillmass.org,42.584652,-70.963811,US,Essex,PREMISE: ROOFTOP
5cdfb599-458a-e111-8dde-005056934050,148 Old Marlton Pike,Goodwill Industries,19 Howley Streeet,,Peabody,MA,01960,United States,,Donation Center,Http://www.goodwillmass.org,42.5234026,-70.91702079,US,Essex,AGGDATA_VERIFIED: ROOFTOP
F8ba0a34-458a-e111-8dde-005056934050,Lockheed Martin,Goodwill Industries,1 Sam Ryder Road,,Hingham,MA,02043,United States,,Donation Center,Http://www.goodwillmass.org,42.220853,-70.90613,US,Plymouth,PREMISE: ROOFTOP
Ec77288e-84b7-e911-80e2-00505689ac90,Sewell Store & Donation Center,Goodwill Industries,N Meadows Rd,,Medfield,MA,02052,United States,,Donation Center,Http://www.goodwillmass.org,42.19738828,-71.32917027,US,Norfolk,AGGDATA_VERIFIED: ROOFTOP
2ade83db-458a-e111-8dde-005056934050,222 S White Horse Pike Store,Goodwill Industries,Theo F Smith Rd,,Dennis,MA,02109,United States,,Donation Center,Http://www.goodwillmass.org,41.6921144,-70.14752319,US,Suffolk,AGGDATA_VERIFIED: ROOFTOP
3a29e04a-c7c3-e711-8e76-005056890337,The Helms Academy,Goodwill Industries,965 Commonwealth Ave,,Brighton,MA,02119,United States,(617) 254-0112,"Donation Center,retail Store",Http://www.goodwillmass.org,42.35197205,-71.11930154,US,Norfolk,AGGDATA_VERIFIED: ROOFTOP
05bfad90-8baa-e511-8981-005056890337,Logan Township Donation Center,Goodwill Industries,1010 Harrison Ave,,Boston,MA,02119,United States,,"Donation Center,retail Store",Http://www.goodwillmass.org,42.330673,-71.07984914,US,Suffolk,AGGDATA_VERIFIED: ROOFTOP
6dde83db-458a-e111-8dde-005056934050,1912 N. Black Horse Pike,Goodwill Industries,1010 Harrison Ave,,Boston,MA,02119,United States,,"Donation Center,outlet Store,retail Store",Http://www.goodwillmass.org,42.330673,-71.07984914,US,Suffolk,AGGDATA_VERIFIED: ROOFTOP
C838b59f-458a-e111-8dde-005056934050,Woodbury Heights Store & Donation Center,Goodwill Industries,470 W Broadway,,South Boston,MA,02127,United States,(617) 307-6367,"Donation Center,retail Store",Http://www.goodwillmass.org,42.3360724,-71.0459232,US,Suffolk,AGGDATA_VERIFIED: ROOFTOP
D1832f73-37c0-e811-80de-00505689ac90,Audubon Store & Donation Center,Goodwill Industries,678 Centre St,,Jamaica Plain,MA,02130,United States,(617) 522-1415,"Donation Center,retail Store",Http://www.goodwillmass.org,42.31203941,-71.11407062,US,Suffolk,AGGDATA_VERIFIED: ROOFTOP
F06478ed-458a-e111-8dde-005056934050,5461 Route 70 Store,Goodwill Industries,Central Ave,,Needham,MA,02136,United States,,Donation Center,Http://www.goodwillmass.org,42.25834588,-71.27215743,US,Norfolk,AGGDATA_VERIFIED: ROOFTOP
32b674f9-458a-e111-8dde-005056934050,Contract Services Center,Goodwill Industries,892 River Street,,Hyde Park,MA,02136,United States,(617) 752-8500,"Donation Center,retail Store",Http://www.goodwillmass.org,42.261287,-71.110541,US,Suffolk,PREMISE: ROOFTOP
3850d37b-458a-e111-8dde-005056934050,6701 Black Horse Pike Store,Goodwill Industries,520 Massachusetts Ave,,Cambridge,MA,02139,United States,(617) 868-6330,"Donation Center,retail Store",Http://www.goodwillmass.org,42.36412981,-71.10200219,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
8c137ce1-458a-e111-8dde-005056934050,1418 High Street,Goodwill Industries,230 Elm St,,Somerville,MA,02144,United States,(617) 628-3618,"Donation Center,retail Store",Http://www.goodwillmass.org,42.39468803,-71.12175552,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
Bc51053a-458a-e111-8dde-005056934050,86 Route 526,Goodwill Industries,625 Southern Artery,,Quincy,MA,02169,United States,(617) 745-4144,"Donation Center,retail Store",Http://www.goodwillmass.org,42.25226707,-70.98920718,US,Norfolk,AGGDATA_VERIFIED: ROOFTOP
22990720-fd3d-ea11-80e3-00505689ac90,Pennington Donation Center,Goodwill Industries,250 Beaver Dam Road,,Plymouth,MA,02301,United States,,Donation Center,Http://www.goodwillmass.org,41.8997837,-70.577569,US,Plymouth,STREET_ADDRESS: RANGE_INTERPOLATED
0bb18ecf-458a-e111-8dde-005056934050,594 Rt 206 Store,Goodwill Industries,118 Rockland St,,Hanover,MA,02339,United States,,Donation Center,Http://www.goodwillmass.org,42.1155269,-70.82478288,US,Plymouth,AGGDATA_VERIFIED: ROOFTOP
696c7be7-458a-e111-8dde-005056934050,1628 N Olden Ave Store,Goodwill Industries,36 Bedford Street,,Lexington,MA,02420,United States,,Donation Center,Http://www.goodwillmass.org,42.45317303,-71.23438253,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
E96b4a5d-96d7-ec11-80fd-00505689ac90,Hamilton Township Store & Donation Center,Goodwill Industries,115 Rumford Avenue,,Newton,MA,02458,United States,,Donation Center,Http://www.goodwillmass.org,42.35848855,-71.24230267,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
0b4789d5-458a-e111-8dde-005056934050,"333 Route 9, Baywick Plaza",Goodwill Industries,905 Massachusetts Avenue,,Arlington,MA,02476,United States,,Donation Center,Http://www.goodwillmass.org,42.3641433,-71.10199397,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
44838aad-d4dc-e611-bbdb-005056890337,Brick Store & Donation Center,Goodwill Industries,169 Great Plain Ave,,Wellesley,MA,02482,United States,,Donation Center,Http://www.goodwillmass.org,42.28816,-71.274625,US,Norfolk,PREMISE: ROOFTOP
43a42fc9-16a3-e911-80e2-00505689ac90,Point Pleasant Attended Donation Center,Goodwill Industries,Church St,,Weston,MA,02493,United States,,Donation Center,Http://www.goodwillmass.org,42.36764812,-71.29310608,US,Middlesex,AGGDATA_VERIFIED: ROOFTOP
5eb39c2a-1404-ec11-80f5-00505689ac90,Toms River Attended Donation Center,Goodwill Industries,141 Corporation Rd,,Hyannis,MA,02601,United States,(508) 790-0046,"Donation Center,retail Store",Http://www.goodwillmass.org,41.66644435,-70.30070093,US,Barnstable,AGGDATA_VERIFIED: ROOFTOP
F23d29ce-0708-eb11-80eb-00505689ac90,The Helms Academy,Goodwill Industries,2019 Queen Anne Rd,,Harwich,MA,02645,United States,,Donation Center,Http://www.goodwillmass.org,41.699873,-70.027263,US,Barnstable,STREET_ADDRESS: RANGE_INTERPOLATED
63928904-2466-e611-90db-005056890337,Bound Brook Store & Donation Center,Goodwill Industries,45 Flint Street,,Barnstable,MA,02648,United States,,Donation Center,Http://www.goodwillmass.org,41.66647535,-70.30061351,US,Barnstable,AGGDATA_VERIFIED: ROOFTOP
1739fc4b-458a-e111-8dde-005056934050,East Brunswick Store & Donation Center,Goodwill Industries,380 Asher's Path,,Mashpee,MA,02649,United States,,Donation Center,Http://www.goodwillmass.org,41.629376,-70.476225,US,Barnstable,PREMISE: ROOFTOP
9683e06f-458a-e111-8dde-005056934050,Somerville Recycling Center Donation Bin,Goodwill Industries,606 Forest Road,,Yarmouth,MA,02673,United States,,Donation Center,Http://www.goodwillmass.org,41.684967,-70.218708,US,Barnstable,PREMISE: ROOFTOP
E930f951-458a-e111-8dde-005056934050,Chelsea 25th Street Store & Donation Center,Goodwill Industries,115 Washington St,,South Attleboro,MA,02703,United States,(508) 399-7601,"Donation Center,retail Store",Http://www.goodwillsne.org,41.92784766,-71.35545988,US,Providence,AGGDATA_VERIFIED: ROOFTOP
E81994c9-458a-e111-8dde-005056934050,Greenwich Village Store & Donation Center,Goodwill Industries,444 Quaker Lane,,Warwick,RI,02886,United States,(401) 210-9114,"Career Services,donation Center,retail Store",Http://www.goodwillsne.org,41.683292,-71.499874,US,Kent,PREMISE: ROOFTOP
333345c9-354c-e511-97d0-005056890337,14th Street Store & Donation Center,Goodwill Industries,87 Granite Street,,Westerly,RI,02891,United States,(401) 329-0128,Donation Center,Http://www.goodwillsne.org,41.37354096,-71.82085403,US,Washington,AGGDATA_VERIFIED: ROOFTOP
Ac5ea7b1-458a-e111-8dde-005056934050,East Harlem 3rd Avenue-121st Street Store & Donation Center,Goodwill Industries,100 Houghton Street,,Providence,RI,02904,United States,(401) 861-2080,Donation Center,Http://www.goodwillsne.org,41.85643639,-71.43583093,US,Providence,AGGDATA_VERIFIED: ROOFTOP
754b49de-d5a1-e611-bbdb-005056890337,61st Street Store & Donation Center,Goodwill Industries,131 Route 101a,,Amherst,NH,03031,United States,(603) 554-8288,"Donation Center,retail Store",Http://www.goodwillnne.org,42.80554742,-71.56703873,US,Hillsborough,AGGDATA_VERIFIED: ROOFTOP
450c0740-458a-e111-8dde-005056934050,Baldwin Place (somers) Store & Donation Center,Goodwill Industries,9 Wason Road,,Hudson,NH,03051,United States,(603) 718-6111,"Donation Center,outlet Store,retail Store",Http://www.goodwillnne.org,42.73070841,-71.42381698,US,Hillsborough,AGGDATA_VERIFIED: ROOFTOP
F5bd77f3-458a-e111-8dde-005056934050,Chappaqua Railroad Station Donation Bin,Goodwill Industries,23 South Broadway,,Salem,NH,03074,United States,(603) 898-3800,"Donation Center,retail Store",Http://www.goodwillnne.org,42.779666,-71.227037,US,Rockingham,PREMISE: ROOFTOP
04de83db-458a-e111-8dde-005056934050,Chappaqua - End Of Hunts Lane Donation Bin,Goodwill Industries,165 John D. Devine Drive,,Manchester,NH,03103,United States,(603) 518-5246,"Donation Center,retail Store",Http://www.goodwillnne.org,42.9587147,-71.4403897,US,Hillsborough,AGGDATA_VERIFIED: ROOFTOP
8e1adb75-458a-e111-8dde-005056934050,Elmsford Donation Center,Goodwill Industries,1328 Hooksett Road,,Hooksett,NH,03106,United States,(603) 622-6207,Retail Store,Http://www.goodwillnne.org,43.054829,-71.443435,US,Merrimack,PREMISE: ROOFTOP
E8a20146-458a-e111-8dde-005056934050,Eastchester Attended Donation Center,Goodwill Industries,95 Daniel Webster Highway,,Belmont,NH,03220,United States,(603) 527-1362,"Donation Center,retail Store",Http://www.goodwillnne.org,43.513448,-71.491674,US,Belknap,PREMISE: ROOFTOP
D8d7207a-cdd7-ed11-810a-00505689ac90,Middletown Store And Donation Center,Goodwill Industries,204 Loudon Rd,,Concord,NH,03301,United States,(603) 226-4448,"Donation Center,retail Store",Http://www.goodwillnne.org,43.21988003,-71.4968842,US,Merrimack,AGGDATA_VERIFIED: ROOFTOP
Eadfb599-458a-e111-8dde-005056934050,Nanuet Store & Donation Center,Goodwill Industries,720 Lafayette Rd.,,Portsmouth,NH,03801,United States,(603) 430-2040,"Donation Center,retail Store",Http://www.goodwillnne.org,43.05486146,-70.77071702,US,Rockingham,AGGDATA_VERIFIED: ROOFTOP
Fff4a1b7-458a-e111-8dde-005056934050,Nanuet Dunkin Donuts Donation Bin,Goodwill Industries,21 Chevy Chase Road,,Seabrook,NH,03874,United States,(603) 474-0980,"Donation Center,retail Store",Http://www.goodwillnne.org,42.89139041,-70.87015321,US,Rockingham,AGGDATA_VERIFIED: ROOFTOP
886478ed-458a-e111-8dde-005056934050,Queens Van Dam Outlet Store & Donation Center,Goodwill Industries,450-462 High Street,,Somersworth,NH,03878,United States,(603) 343-5560,"Donation Center,retail Store",Http://www.goodwillnne.org,43.230883,-70.881896,US,Strafford,PREMISE: ROOFTOP
9d4ea1bd-458a-e111-8dde-005056934050,Brooklyn Livingston Street Store & Donation Center,Goodwill Industries,"5 Points Shopping Center Route 111, Suite 110 Alfred Street",,Biddeford,ME,04005,United States,(207) 282-1998,"Donation Center,retail Store",Http://www.goodwillnne.org,43.48348244,-70.47799498,US,York,AGGDATA_VERIFIED: ROOFTOP
0566aaab-458a-e111-8dde-005056934050,"Goodwill Industries Of Greater New York And Northern New Jersey, Inc.",Goodwill Industries,21 Gurnet Street,,Brunswick,ME,04011,United States,,"Donation Center,retail Store",Http://www.goodwillnne.org,43.90460562,-69.91380103,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
7bb28cdd-9b3c-e711-81b3-005056890337,Brooklyn Workforce Development,Goodwill Industries,34 Hutcherson Drive,,Gorham,ME,04038,United States,(207) 774-6323,,Http://www.goodwillnne.org,43.68090963,-70.39581084,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
6a6eada5-458a-e111-8dde-005056934050,Whitestone U.s. Post Office Donation Bin,Goodwill Industries,102 Main St,,Gorham,ME,04038,United States,(207) 839-8503,"Donation Center,retail Store",Http://www.goodwillnne.org,43.68189607,-70.43954602,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
9031f951-458a-e111-8dde-005056934050,St. John's University Donation Bins,Goodwill Industries,34 Hutcherson Drive,,Gorham,ME,04038,United States,(207) 887-8470,Outlet Store,Http://www.goodwillnne.org,43.68090963,-70.39581084,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
7d5ea7b1-458a-e111-8dde-005056934050,Carle Place Q-zar Donation Bin,Goodwill Industries,36 Sea Rd.,,Kennebunk,ME,04043,United States,,Donation Center,Http://www.goodwillnne.org,43.37603129,-70.52712416,US,York,AGGDATA_VERIFIED: ROOFTOP
6ada1dfe-f948-e211-90b0-0050568924e6,Long Beach Recreation Center Donation Bin,Goodwill Industries,46 Bergeron Dr.,,Kennebunk,ME,04046,United States,,Donation Center,Http://www.goodwillnne.org,43.45103196,-70.52456332,US,York,AGGDATA_VERIFIED: ROOFTOP
A8f4a1b7-458a-e111-8dde-005056934050,East Northport Store & Donation Center,Goodwill Industries,31 Landing Rd.,,Windham,ME,04062,United States,(207) 892-8463,"Donation Center,retail Store",Http://www.goodwillnne.org,43.83964997,-70.44644945,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
7d026abd-0c5b-e211-90b0-0050568924e6,Massapequa Attended Donation Center,Goodwill Industries,106 Park Drive,,Topsham,ME,04086,United States,(207) 729-1917,"Donation Center,retail Store",Http://www.goodwillnne.org,43.93085805,-69.97833699,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
13e6cd81-458a-e111-8dde-005056934050,Syosset - North Shore Synagogue Donation Bin,Goodwill Industries,200 Larrabee Road,,Westbrook,ME,04092,United States,(207) 887-8330,"Donation Center,retail Store",Http://www.goodwillnne.org,43.6812527,-70.33340691,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
C113c38d-458a-e111-8dde-005056934050,Troy Store & Donation Center,Goodwill Industries,"Falmouth Shopping Center, 251 Us Rt 1",,Falmouth,ME,04105,United States,,"Donation Center,retail Store",Http://www.goodwillnne.org,43.724466,-70.2299374,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
C9c0975e-979e-ed11-8107-00505689ac90,Goodwill Nynj Store & Donation Center,Goodwill Industries,555 Maine Mall Rd.,,South Portland,ME,04106,United States,(207) 553-2223,"Donation Center,retail Store",Http://www.goodwillnne.org,43.6294425,-70.34374393,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
Be4789d5-458a-e111-8dde-005056934050,Hudson Store & Donation Center,Goodwill Industries,50 Market St,,South Portland,ME,04106,United States,(207) 741-2056,"Donation Center,retail Store",Http://www.goodwillnne.org,43.63513002,-70.25381444,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
De83e06f-458a-e111-8dde-005056934050,Vails Gate (new Windsor) Store & Donation Center,Goodwill Industries,21 Dennison Dr.,,Cape Elizabeth,ME,04107,United States,,Donation Center,Http://www.goodwillnne.org,43.58606778,-70.24278441,US,Cumberland,AGGDATA_VERIFIED: ROOFTOP
0b84e06f-458a-e111-8dde-005056934050,Wappingers Falls Store & Donation Center,Goodwill Industries,939 Turner Ave.,,Auburn,ME,04210,United States,(207) 783-1702,"Donation Center,retail Store",Http://www.goodwillnne.org,44.12210184,-70.23235006,US,Androscoggin,AGGDATA_VERIFIED: ROOFTOP
E824d4ba-66cd-e811-80df-00505689ac90,Cicero - Store,Goodwill Industries,5 Senator Way,,Augusta,ME,04330,United States,(207) 623-1774,"Donation Center,retail Store",Http://www.goodwillnne.org,44.3143621,-69.8054788,US,Kennebec,AGGDATA_VERIFIED: ROOFTOP
5d16943f-4003-eb11-80eb-00505689ac90,Manlius - Attended Donation Center,Goodwill Industries,805 Stillwater Ave,,Bangor,ME,04401,United States,(207) 947-7984,"Donation Center,retail Store",Http://www.goodwillnne.org,44.83583115,-68.74795491,US,Penobscot,AGGDATA_VERIFIED: ROOFTOP
4c8071ca-9a02-eb11-80eb-00505689ac90,Camillus - Attended Donation Center,Goodwill Industries,610 Wilson St,,Brewer,ME,04412,United States,(207) 989-1511,"Donation Center,retail Store",Http://www.goodwillnne.org,44.77876113,-68.73781331,US,Penobscot,AGGDATA_VERIFIED: ROOFTOP
4e51053a-458a-e111-8dde-005056934050,Onondaga - Store,Goodwill Industries,15 Downeast Highway,,Ellsworth,ME,04605,United States,(207) 669-6321,"Donation Center,retail Store",Http://www.goodwillnne.org,44.53085021,-68.40512551,US,Hancock,AGGDATA_VERIFIED: ROOFTOP
6d3a64a9-0c3a-e211-bd7d-005056934050,Vestal Store & Donation Center,Goodwill Industries,202 Camden St.,,Rockland,ME,04841,United States,(207) 594-2419,"Donation Center,retail Store",Http://www.goodwillnne.org,44.12264445,-69.10047194,US,Knox,AGGDATA_VERIFIED: ROOFTOP
1242181a-84a3-e311-9471-0050568924e6,Batavia Store & Attended Donation Center,Goodwill Industries,10 Concourse West,,Waterville,ME,04901,United States,(207) 877-0673,"Donation Center,retail Store",Http://www.goodwillnne.org,44.54947203,-69.6325124,US,Kennebec,AGGDATA_VERIFIED: ROOFTOP
Fe1994c9-458a-e111-8dde-005056934050,Depew Store And Attended Donation Center,Goodwill Industries,13 Goodwill Drive,,Belfast,ME,04915,United States,,"Donation Center,retail Store",Http://www.goodwillnne.org,44.42426485,-69.02580772,US,Waldo,AGGDATA_VERIFIED: ROOFTOP
D6167605-a072-e211-87d7-0050568924e6,Hamburg (south) Attended Donation Center Trailer,Goodwill Industries,215 North St,,Bennington,VT,05201,United States,(802) 442-4285,"Donation Center,retail Store",Http://www.goodwill-berkshires.com,42.88231607,-73.19619854,US,Bennington,AGGDATA_VERIFIED: ROOFTOP
D16478ed-458a-e111-8dde-005056934050,Hamburg Store And Attended Donation Center,Goodwill Industries,Berkshire Bank,,Manchester,VT,05254,United States,(413) 442-0061,Donation Center,Http://www.goodwill-berkshires.com,43.176891,-73.056229,US,Bennington,PREMISE: ROOFTOP
4151053a-458a-e111-8dde-005056934050,Lockport Store And Attended Donation Center,Goodwill Industries,768 Putney Road,,Brattleboro,VT,05301,United States,(802) 257-3360,"Donation Center,retail Store",Http://www.goodwill-berkshires.com,42.874535,-72.562334,US,Windham,PREMISE: ROOFTOP
796c7be7-458a-e111-8dde-005056934050,Tonawanda Store And Attended Donation Center,Goodwill Industries,Shelburne Rd.,,South Burlington,VT,05403,United States,(802) 658-5359,"Donation Center,retail Store",Http://www.goodwillnne.org,44.4389903,-73.20960562,US,Chittenden,AGGDATA_VERIFIED: ROOFTOP
E9cb2cce-0cdc-ea11-80e9-00505689ac90,Buffalo Attended Donation Center,Goodwill Industries,64 Harvest Lane,,Williston,VT,05495,United States,,"Donation Center,retail Store",Http://www.goodwillnne.org,44.451604,-73.118784,US,Chittenden,PREMISE: ROOFTOP
66af2cf9-521f-ee11-810f-00505689ac90,Goodskills Career Builder - Buffalo,Goodwill Industries,230 North Main Street,,Rutland,VT,05701,United States,(802) 772-4383,"Donation Center,retail Store",Http://www.goodwill-berkshires.com,43.62465715,-72.97475365,US,Bennington,AGGDATA_VERIFIED: ROOFTOP
Cdac6f9b-b53b-e511-97d0-005056890337,Buffalo Store,Goodwill Industries,260 West Main Street,,Avon,CT,06001,United States,(860) 677-0771,"Donation Center,retail Store",Http://www.gwct.org,41.81367278,-72.85354771,US,Hartford,AGGDATA_VERIFIED: ROOFTOP
F1c700f6-79cf-e511-bed2-005056890337,North Buffalo Store And Attended Donation Center,Goodwill Industries,331 Cottage Grove Road,,Bloomfield,CT,06002,United States,(860) 969-5512,"Donation Center,retail Store",Http://www.gwct.org,41.8159189,-72.7162784,US,Hartford,AGGDATA_VERIFIED: ROOFTOP
Bd137ce1-458a-e111-8dde-005056934050,Williamsville Attended Donation Center Trailer,Goodwill Industries,2709 Main St,,Glastonbury,CT,06033,United States,(860) 657-8195,"Donation Center,retail Store",Http://www.gwct.org,41.71659761,-72.61297092,US,Hartford,AGGDATA_VERIFIED: ROOFTOP
