return_id,order_id,sku,return_date,return_reason,refund_amount,refund_status
RET000035,ORD0109541,SKU008497,2026-02-05,product was cracked,185.53,Processed
RET000036,ORD0055037,SKU000196,2025-11-04,Doesn't fit properly,266.83,Processed
RET000037,ORD0017765,SKU005210,2026-10-21,size too small,349.45,Processed
RET000038,ORD0081592,SKU009169,2025-12-05,wrong size ordered,223.44,Processed
RET000039,ORD0102648,SKU002255,2025-04-26,misleading description,228.38,Processed
RET000040,ORD0021695,SKU012323,2026-06-23,no longer needed,1131.1,Processed
RET000041,ORD0049517,SKU010089,2026-02-18,broken on arrival,326.46,Processed
RET000042,ORD0046017,SKU011009,2025-11-19,misleading description,667.79,Processed
RET000043,ORD0075685,SKU009331,2026-03-08,size chart misleading,557.92,Processed
RET000044,ORD0105876,SKU000679,2025-03-22,device faulty,3126.87,Processed
RET000045,ORD0115455,SKU010434,2025-02-27,Quality issue,532.96,Rejected
RET000046,ORD0059022,SKU011626,2026-01-27,late delivery no longer needed,308.64,Processed
RET000047,ORD0066490,SKU008632,2025-06-11,Not what I ordered,346.16,Processed
RET000048,ORD0024227,SKU005857,2025-10-31,Damaged in transit,1398.48,Processed
RET000049,ORD0045314,SKU010997,2026-01-07,defective piece,2719.14,Processed
RET000050,ORD0053446,SKU003017,2025-05-06,SIZE PROBLEM,490.95,Processed
RET000051,ORD0042951,SKU009832,2025-11-06,fabric quality bad,1397.44,Pending
RET000052,ORD0009564,SKU009398,2026-05-30,didnt fit,230.06,Pending
RET000053,ORD0088818,SKU003738,2025-02-07,looks different online,201.66,Processed
RET000054,ORD0012039,SKU006186,2025-06-28,SIZE PROBLEM,813.71,Processed
RET000055,ORD0023369,SKU008229,2025-09-08,Delayed delivery,808.85,Processed
RET000056,ORD0103144,SKU011758,2026-11-20,not durable,472.75,Processed
RET000057,ORD0008464,SKU000092,2025-10-28,SIZE PROBLEM,408.56,Processed
RET000058,ORD0081860,SKU010901,2025-03-31,Delayed delivery,562.09,Pending
RET000059,ORD0064770,SKU009772,2025-11-12,Size issue,110.26,Processed
RET000060,ORD0093984,SKU008469,2025-03-23,not durable,505.22,Processed
RET000061,ORD0048893,SKU005967,2026-05-27,battery dead,1021.16,Processed
RET000062,ORD0086209,SKU000720,2026-06-04,too tight,1441.83,Processed
RET000063,ORD0033911,SKU009233,2026-01-16,broken on arrival,2723.29,Processed
RET000064,ORD0027671,SKU002309,2025-12-20,size too small,4221.71,Processed
RET000065,ORD0104259,SKU011749,2026-06-29,Damaged in transit,368.14,Processed
RET000066,ORD0025957,SKU002901,2025-07-21,misleading description,933.38,Processed
RET000067,ORD0086769,SKU004449,2026-10-22,fabric quality bad,1030.57,Processed
RET000068,ORD0096563,SKU000761,2026-11-27,Size issue,364.54,Pending
RET000069,ORD0022974,SKU003561,2025-06-08,found cheaper elsewhere,314.21,Processed
RET000070,ORD0114501,SKU001565,2025-08-22,arrived after event,757.23,Processed
RET000071,ORD0011487,SKU001881,2026-11-27,size too small,460.01,Processed
RET000072,ORD0033927,SKU007891,2025-05-04,not durable,1942.81,Pending
RET000073,ORD0035984,SKU000559,2025-10-13,Delayed delivery,321.97,Rejected
RET000074,ORD0068473,SKU009389,2026-11-09,arrived damaged!!,572.48,Processed
RET000075,ORD0020616,SKU000715,2026-05-30,ordered by mistake,1261.39,Processed
RET000076,ORD0078600,SKU001564,2025-05-18,poor quality,594.58,Processed
RET000077,ORD0013357,SKU009998,2026-02-10,Doesn't fit properly,135.8,Rejected
RET000078,ORD0058452,SKU010702,2025-03-09,arrived damaged!!,2159.84,Processed
RET000079,ORD0017815,SKU006237,2026-04-12,wrong item sent,1062.09,Processed
RET000080,ORD0046078,SKU008380,2025-10-24,broken on arrival,1492.21,Processed
RET000081,ORD0036356,SKU007371,2026-05-03,ordered by mistake,850.76,Processed
RET000082,ORD0049656,SKU008367,2025-05-22,quality not as expected,4163.82,Pending
RET000083,ORD0080781,SKU011041,2025-03-13,arrived after event,104.08,Processed
RET000084,ORD0020945,SKU012108,2026-05-08,too tight,478.42,Pending
RET000085,ORD0081754,SKU003332,2026-03-01,wrong item sent,973.62,Processed
RET000086,ORD0068368,SKU007289,2026-06-10,Delayed delivery,438.27,Processed
RET000087,ORD0088507,SKU001940,2026-11-17,wrong size ordered,1071.81,Processed
RET000088,ORD0064525,SKU001673,2025-01-15,device faulty,863.63,Processed
RET000089,ORD0054818,SKU001769,2025-07-15,Damaged in transit,210.89,Processed
RET000090,ORD0021875,SKU006309,2026-02-25,packaging torn item broken,575.31,Processed
RET000091,ORD0086474,SKU009088,2026-07-08,SIZE PROBLEM,242.31,Processed
RET000092,ORD0107206,SKU003524,2026-06-10,product was cracked,667.23,Processed
RET000093,ORD0107165,SKU001420,2025-02-17,broken on arrival,330.73,Processed
RET000094,ORD0036060,SKU008231,2025-06-30,not working,350.85,Processed
RET000095,ORD0063431,SKU003119,2026-11-24,not working,551.07,Processed
RET000096,ORD0052709,SKU006924,2025-10-04,wrong item sent,2244.43,Processed
RET000097,ORD0096815,SKU009552,2025-03-06,wrong colour delivered,434.62,Processed
RET000098,ORD0069144,SKU008652,2025-08-31,SIZE PROBLEM,159.15,Processed
RET000099,ORD0042619,SKU006731,2026-03-15,wrong item sent,546.26,Processed
RET000100,ORD0001300,SKU004439,2025-09-03,no longer needed,470.71,Processed
RET000101,ORD0050420,SKU012375,2026-11-10,Quality issue,412.31,Processed
RET000102,ORD0038164,SKU011165,2025-05-19,too tight,184.93,Processed
RET000103,ORD0081030,SKU000868,2026-11-26,found cheaper elsewhere,565.87,Processed
RET000104,ORD0067974,SKU003655,2025-09-14,misleading description,387.18,Processed
RET000105,ORD0001012,SKU007285,2026-01-25,arrived damaged!!,469.14,Processed
RET000106,ORD0042048,SKU008161,2025-11-21,fabric quality bad,254.3,Processed
RET000107,ORD0117198,SKU005528,2025-01-14,not as described,146.1,Processed
RET000108,ORD0081890,SKU007716,2026-02-04,fabric quality bad,755.08,Processed
RET000109,ORD0098540,SKU006295,2026-07-18,fabric quality bad,885.56,Processed
RET000110,ORD0000987,SKU002268,2025-02-19,item damaged,1103.06,Processed
RET000111,ORD0087092,SKU007518,2025-01-12,didnt fit,530.76,Pending
RET000112,ORD0084668,SKU011689,2025-04-25,Doesn't fit properly,1102.34,Processed
RET000113,ORD0007994,SKU012446,2026-04-15,didnt fit,445.75,Processed
RET000114,ORD0071577,SKU002582,2025-08-24,stopped working after a day,896.43,Processed
RET000115,ORD0085036,SKU002126,2026-02-02,wrong item sent,649.23,Processed
RET000116,ORD0095692,SKU005490,2025-11-30,fabric quality bad,739.4,Processed
RET000117,ORD0071401,SKU009797,2025-04-25,arrived damaged!!,2151.44,Processed
RET000118,ORD0039805,SKU006108,2026-06-29,SIZE PROBLEM,225.72,Processed
RET000119,ORD0069873,SKU000607,2025-08-27,different sku received,1159.02,Processed
RET000120,ORD0037123,SKU011191,2025-11-23,late delivery no longer needed,1368.57,Processed
RET000121,ORD0000229,SKU010526,2026-01-08,Delayed delivery,533.59,Processed
RET000122,ORD0026921,SKU005634,2026-04-12,product was cracked,898.92,Pending
RET000123,ORD0042437,SKU001789,2025-04-30,size too small,1093.57,Pending
RET000124,ORD0020321,SKU001784,2025-05-26,SIZE PROBLEM,221.33,Pending
RET000125,ORD0108120,SKU009512,2025-08-02,not durable,417.48,Processed
RET000126,ORD0090129,SKU002367,2025-01-22,Not what I ordered,693.11,Processed
RET000127,ORD0080109,SKU002369,2026-02-14,too tight,480.39,Processed
RET000128,ORD0081860,SKU009542,2025-03-21,changed my mind,1883.47,Processed
RET000129,ORD0067851,SKU012084,2026-11-23,product was cracked,618.34,Processed
RET000130,ORD0093810,SKU007376,2025-11-10,Damaged in transit,582.19,Processed
RET000131,ORD0094694,SKU011962,2025-07-03,wrong item sent,840.84,Processed
RET000132,ORD0042708,SKU004904,2025-06-17,item damaged,372.44,Processed
RET000133,ORD0025055,SKU002012,2025-04-03,packaging torn item broken,1174.27,Processed
RET000134,ORD0101188,SKU012354,2026-02-23,wrong item sent,1515.67,Processed
RET000135,ORD0113470,SKU004581,2025-11-20,late delivery no longer needed,717.58,Processed
RET000136,ORD0083266,SKU005565,2025-02-15,item damaged,1094.04,Pending
RET000137,ORD0015905,SKU006682,2026-12-10,Quality issue,209.66,Pending
RET000138,ORD0030718,SKU003076,2025-10-27,not working,1590.46,Pending
RET000139,ORD0029758,SKU011994,2025-02-15,arrived damaged!!,260.6,Processed
RET000140,ORD0003682,SKU011363,2025-11-13,Quality issue,472.03,Processed
RET000141,ORD0102512,SKU008931,2026-06-16,different sku received,426.99,Processed
RET000142,ORD0101883,SKU005385,2026-03-04,received different product,715.62,Processed
RET000143,ORD0058466,SKU001694,2025-12-01,wrong size ordered,669.28,Pending
RET000144,ORD0111644,SKU001143,2026-10-06,Size issue,515.02,Pending
RET000145,ORD0073981,SKU006743,2025-03-12,wrong colour delivered,514.51,Processed
RET000146,ORD0113723,SKU008917,2026-04-03,quality not as expected,686.81,Processed
RET000147,ORD0056086,SKU009388,2025-11-03,size too small,1025.92,Processed
RET000148,ORD0094446,SKU004661,2025-06-30,not durable,1574.77,Processed
RET000149,ORD0094335,SKU000463,2026-06-22,Doesn't fit properly,625.6,Processed
RET000150,ORD0005213,SKU012174,2026-02-21,quality not as expected,98.2,Processed
RET000151,ORD0035002,SKU010180,2026-12-05,different sku received,483.85,Processed
RET000152,ORD0099982,SKU010020,2025-03-26,SIZE PROBLEM,257.65,Processed
RET000153,ORD0093524,SKU005804,2025-08-30,product was cracked,429.33,Processed
RET000154,ORD0019159,SKU011359,2025-03-31,not working,1259.64,Processed
RET000155,ORD0035672,SKU005761,2025-05-08,colour different from image,324.04,Processed
RET000156,ORD0059207,SKU007551,2025-09-14,defective piece,508.77,Processed
RET000157,ORD0100935,SKU001266,2025-12-02,wrong item sent,887.86,Processed
RET000158,ORD0040418,SKU009443,2025-10-06,packaging torn item broken,405.21,Processed
RET000159,ORD0071278,SKU011953,2025-05-25,quality not as expected,220.45,Processed
RET000160,ORD0117504,SKU003499,2025-12-24,Delayed delivery,328.89,Processed
RET000161,ORD0092685,SKU004851,2025-06-26,late delivery no longer needed,1080.95,Pending
RET000162,ORD0078726,SKU002133,2025-10-17,size too small,138.38,Pending
RET000163,ORD0004809,SKU008570,2025-09-08,cheap material,605.75,Processed
RET000164,ORD0017496,SKU008075,2025-09-22,fabric quality bad,258.89,Processed
RET000165,ORD0105906,SKU003744,2026-04-30,cheap material,1718.36,Processed
RET000166,ORD0030620,SKU002986,2025-03-26,arrived after event,581.65,Rejected
RET000167,ORD0005253,SKU000467,2026-07-23,didnt fit,1530.7,Processed
RET000168,ORD0046148,SKU002550,2025-12-07,SIZE PROBLEM,584.78,Processed
RET000169,ORD0031212,SKU007071,2026-11-11,dont want it now,406.92,Processed
RET000170,ORD0084998,SKU004379,2025-06-28,Not what I ordered,2537.95,Processed
RET000171,ORD0111998,SKU010466,2026-04-18,quality not as expected,516.99,Pending
RET000172,ORD0009936,SKU001521,2025-03-02,didnt fit,503.94,Processed
RET000173,ORD0035324,SKU005686,2025-05-26,found cheaper elsewhere,369.49,Processed
RET000174,ORD0046495,SKU010045,2025-08-09,wrong colour delivered,1308.44,Processed
RET000175,ORD0049038,SKU000687,2025-03-11,no longer needed,840.28,Processed
RET000176,ORD0000460,SKU003607,2025-06-09,delivered too late,565.21,Processed
RET000177,ORD0044159,SKU007583,2025-04-09,arrived after event,118.69,Processed
RET000178,ORD0008156,SKU000236,2025-11-18,SIZE PROBLEM,279.66,Processed
RET000179,ORD0103445,SKU007282,2025-07-20,arrived damaged!!,251.78,Processed
RET000180,ORD0000361,SKU004719,2026-03-27,broken on arrival,160.28,Processed
RET000181,ORD0111466,SKU002289,2025-11-01,size too small,557.81,Processed
RET000182,ORD0028682,SKU003638,2025-12-18,not as described,1432.53,Rejected
RET000183,ORD0033382,SKU005946,2026-01-23,wrong size ordered,213.13,Processed
RET000184,ORD0065835,SKU002663,2025-12-14,wrong item sent,412.77,Processed
RET000185,ORD0094975,SKU008668,2025-04-15,Doesn't fit properly,541.75,Processed
RET000186,ORD0083046,SKU008300,2026-02-17,received different product,175.12,Processed
RET000187,ORD0039406,SKU006113,2025-12-27,delivered too late,1467.04,Processed
RET000188,ORD0061859,SKU003244,2025-12-23,size chart misleading,210.42,Processed
RET000189,ORD0105847,SKU003320,2025-02-01,arrived damaged!!,606.12,Processed
RET000190,ORD0062585,SKU011239,2026-05-03,received different product,713.27,Processed
RET000191,ORD0011829,SKU009288,2026-10-16,size chart misleading,714.15,Processed
RET000192,ORD0106467,SKU006834,2026-01-10,fabric quality bad,1137.89,Processed
RET000193,ORD0046930,SKU012019,2026-12-09,didnt fit,1121.04,Processed
RET000194,ORD0009516,SKU005065,2025-10-11,item damaged,1770.14,Processed
RET000195,ORD0060394,SKU005326,2025-11-03,misleading description,1620.63,Processed
RET000196,ORD0071341,SKU002492,2025-06-30,size too small,381.03,Processed
RET000197,ORD0015723,SKU003505,2025-11-02,Quality issue,806.39,Processed
RET000198,ORD0056147,SKU010028,2025-05-24,colour different from image,1202.62,Processed
RET000199,ORD0033383,SKU010777,2025-01-29,size too small,433.03,Processed
RET000200,ORD0105708,SKU008593,2026-02-23,didnt fit,183.74,Processed
RET000201,ORD0112187,SKU012189,2025-04-24,Damaged in transit,284.65,Processed
RET000202,ORD0033484,SKU003125,2025-12-09,fabric quality bad,530.41,Processed
RET000203,ORD0014307,SKU010604,2025-11-23,fabric quality bad,785.38,Processed
RET000204,ORD0081611,SKU012151,2025-11-04,didnt fit,2102.02,Processed
RET000205,ORD0099917,SKU004038,2025-08-06,SIZE PROBLEM,375.35,Processed
RET000206,ORD0109039,SKU001618,2026-03-02,Size issue,836.96,Processed
RET000207,ORD0097139,SKU006131,2026-06-02,Size issue,2147.71,Processed
RET000208,ORD0063749,SKU008080,2026-11-16,product was cracked,3208.29,Processed
RET000209,ORD0111897,SKU000578,2025-12-14,packaging torn item broken,157.73,Processed
RET000210,ORD0106256,SKU001955,2025-12-27,wrong size ordered,1199.23,Processed
RET000211,ORD0017974,SKU000991,2026-05-19,defective piece,1330.21,Processed
RET000212,ORD0024891,SKU002058,2025-10-15,found cheaper elsewhere,943.4,Processed
RET000213,ORD0028494,SKU001873,2025-09-24,fabric quality bad,2003.76,Processed
RET000214,ORD0093505,SKU002281,2025-02-26,wrong colour delivered,536.2,Processed
RET000215,ORD0107360,SKU008895,2025-09-06,arrived damaged!!,618.48,Processed
RET000216,ORD0010540,SKU000737,2026-01-08,quality not as expected,1807.17,Processed
RET000217,ORD0078521,SKU000214,2026-07-11,Damaged in transit,1072.19,Processed
RET000218,ORD0014300,SKU005303,2026-01-26,ordered by mistake,439.97,Processed
RET000219,ORD0115040,SKU002986,2025-03-29,too tight,329.8,Processed
RET000220,ORD0061410,SKU011288,2026-05-24,wrong item sent,1899.87,Processed
RET000221,ORD0102033,SKU005197,2025-03-18,not working,713.48,Processed
RET000222,ORD0049663,SKU009026,2025-04-10,ordered by mistake,311.14,Processed
RET000223,ORD0049928,SKU009339,2025-03-07,defective piece,638.92,Processed
RET000224,ORD0093943,SKU004176,2025-08-24,Size issue,2595.72,Processed
RET000225,ORD0097012,SKU003660,2025-11-28,cheap material,291.69,Processed
RET000226,ORD0065188,SKU003782,2026-05-27,not durable,643.84,Processed
RET000227,ORD0014174,SKU001187,2025-10-24,Doesn't fit properly,861.61,Rejected
RET000228,ORD0063620,SKU006859,2025-10-04,too tight,1108.54,Processed
RET000229,ORD0045165,SKU012486,2026-07-08,received different product,414.86,Processed
RET000230,ORD0042268,SKU005895,2025-07-06,arrived after event,1090.71,Pending
RET000231,ORD0068474,SKU003252,2026-01-24,no longer needed,764.44,Processed
RET000232,ORD0073153,SKU002330,2025-10-26,fabric quality bad,354.98,Processed
RET000233,ORD0002757,SKU002021,2025-10-28,found cheaper elsewhere,304.72,Processed
RET000234,ORD0074401,SKU000815,2025-12-07,size chart misleading,1022.79,Processed
RET000235,ORD0097604,SKU006578,2026-10-30,found cheaper elsewhere,474.81,Processed
RET000236,ORD0104674,SKU004920,2026-12-11,Size issue,340.44,Processed
RET000237,ORD0009589,SKU001688,2025-10-18,colour different from image,551.05,Processed
RET000238,ORD0029680,SKU004075,2025-11-03,SIZE PROBLEM,893.04,Processed
RET000239,ORD0060653,SKU010522,2025-05-09,cheap material,426.58,Processed
RET000240,ORD0027804,SKU009417,2025-02-19,dont want it now,242.91,Processed
RET000241,ORD0116981,SKU003361,2025-11-05,changed my mind,470.08,Processed
RET000242,ORD0114648,SKU003456,2025-05-14,didnt fit,600.57,Processed
RET000243,ORD0042093,SKU007940,2025-12-13,size too small,898.4,Pending
RET000244,ORD0040917,SKU008420,2025-10-31,product was cracked,1529.38,Rejected
RET000245,ORD0033446,SKU010727,2025-02-17,dont want it now,685.24,Processed
RET000246,ORD0118300,SKU006436,2025-05-23,SIZE PROBLEM,225.72,Pending
RET000247,ORD0023895,SKU004312,2025-09-29,wrong colour delivered,139.61,Processed
RET000248,ORD0010172,SKU006119,2026-06-10,item damaged,512.7,Processed
RET000249,ORD0043554,SKU003525,2025-12-04,different sku received,358.34,Processed
RET000250,ORD0055651,SKU011383,2025-02-18,product was cracked,440.47,Processed
RET000251,ORD0095914,SKU000511,2025-01-15,colour different from image,647.27,Pending
RET000252,ORD0058698,SKU008502,2026-11-01,Size issue,431.16,Processed
RET000253,ORD0040436,SKU005768,2025-12-04,wrong colour delivered,452.03,Processed
RET000254,ORD0029923,SKU003456,2025-08-26,not durable,189.34,Processed
RET000255,ORD0012358,SKU006230,2025-11-19,cheap material,359.38,Processed
RET000256,ORD0057147,SKU000852,2026-05-19,dont want it now,218.03,Processed
RET000257,ORD0004982,SKU002115,2025-12-27,Size issue,1119.41,Processed
RET000258,ORD0067773,SKU008226,2025-03-08,size chart misleading,597.05,Processed
RET000259,ORD0026192,SKU004253,2026-01-06,packaging torn item broken,1017.03,Processed
RET000260,ORD0107002,SKU010521,2026-02-03,Damaged in transit,556.91,Rejected
RET000261,ORD0029166,SKU000871,2025-10-26,arrived damaged!!,529.96,Processed
RET000262,ORD0031471,SKU001758,2025-02-22,ordered by mistake,199.79,Rejected
RET000263,ORD0052709,SKU010240,2025-09-28,delivered too late,1086.67,Processed
RET000264,ORD0054765,SKU002658,2025-03-14,Quality issue,248.2,Processed
RET000265,ORD0052752,SKU009474,2026-04-05,Not what I ordered,909.35,Processed
RET000266,ORD0008095,SKU010661,2026-12-17,product was cracked,3873.02,Processed
RET000267,ORD0063934,SKU002828,2025-08-13,quality not as expected,2047.56,Processed
RET000268,ORD0071555,SKU003392,2025-08-24,SIZE PROBLEM,7306.08,Processed
RET000269,ORD0084146,SKU004857,2025-02-12,device faulty,3359.24,Pending
RET000270,ORD0067244,SKU007895,2026-05-22,wrong size ordered,281.76,Processed
RET000271,ORD0020598,SKU012072,2026-03-19,changed my mind,670.97,Processed
RET000272,ORD0045567,SKU001649,2026-01-27,fabric quality bad,2048.42,Processed
RET000273,ORD0067480,SKU010461,2026-01-22,SIZE PROBLEM,274.87,Processed
RET000274,ORD0112208,SKU008571,2026-04-13,dont want it now,2716.94,Rejected
RET000275,ORD0072768,SKU000574,2025-11-20,fabric quality bad,1244.56,Pending
RET000276,ORD0071959,SKU008109,2025-10-11,size chart misleading,266.94,Processed
RET000277,ORD0108454,SKU012089,2026-11-05,Doesn't fit properly,1203.48,Pending
RET000278,ORD0003974,SKU011089,2025-04-16,Size issue,1394.73,Rejected
RET000279,ORD0080196,SKU007451,2026-01-13,Quality issue,383.67,Rejected
RET000280,ORD0004574,SKU000564,2025-06-25,cheap material,878.97,Processed
RET000281,ORD0018081,SKU004725,2026-04-09,different sku received,1168.56,Processed
RET000282,ORD0086769,SKU002090,2026-10-27,arrived after event,2667.85,Processed
RET000283,ORD0103289,SKU010967,2025-07-11,wrong size ordered,552.2,Processed
RET000284,ORD0109532,SKU007811,2025-10-22,Damaged in transit,585.29,Processed
RET000285,ORD0045617,SKU009829,2025-07-04,Size issue,2367.55,Processed
RET000286,ORD0063522,SKU003672,2025-03-10,SIZE PROBLEM,790.65,Processed
RET000287,ORD0112337,SKU006299,2026-02-21,different sku received,922.01,Processed
RET000288,ORD0017288,SKU010315,2025-05-23,item damaged,687.1,Processed
RET000289,ORD0009366,SKU001064,2026-04-29,packaging torn item broken,425.57,Processed
RET000290,ORD0061268,SKU006288,2025-10-20,received different product,1363.03,Processed
RET000291,ORD0110745,SKU002736,2025-06-14,Not what I ordered,214.01,Processed
RET000292,ORD0026767,SKU001309,2025-09-27,battery dead,614.67,Processed
RET000293,ORD0047636,SKU003100,2026-03-24,wrong colour delivered,1769.37,Processed
RET000294,ORD0103930,SKU003523,2026-07-02,received different product,218.24,Processed
RET000295,ORD0000399,SKU005699,2026-04-09,arrived damaged!!,174.35,Processed
RET000296,ORD0094274,SKU010582,2026-12-23,broken on arrival,351.18,Processed
RET000297,ORD0010010,SKU010377,2025-03-22,fabric quality bad,687.27,Processed
RET000298,ORD0022461,SKU001298,2025-03-15,fabric quality bad,436.5,Processed
RET000299,ORD0049903,SKU007174,2025-12-07,Size issue,286.42,Processed
RET000300,ORD0044704,SKU001115,2025-03-26,Doesn't fit properly,204.48,Processed
RET000301,ORD0099614,SKU003673,2025-12-19,not durable,611.97,Processed
RET000302,ORD0099418,SKU003544,2026-10-20,arrived damaged!!,557.38,Processed
RET000303,ORD0117888,SKU007399,2025-05-28,Quality issue,888.41,Processed
RET000304,ORD0081828,SKU000284,2025-06-18,not durable,918.0,Processed
RET000305,ORD0100807,SKU000207,2026-02-18,product was cracked,1028.42,Processed
RET000306,ORD0101602,SKU000694,2025-03-28,Not what I ordered,2547.2,Processed
RET000307,ORD0086701,SKU002256,2025-11-18,size too small,2170.06,Processed
RET000308,ORD0088561,SKU006664,2026-02-05,Doesn't fit properly,356.02,Processed
RET000309,ORD0116926,SKU005408,2025-05-31,product was cracked,309.97,Processed
RET000310,ORD0086031,SKU006049,2025-07-15,Doesn't fit properly,156.34,Processed
RET000311,ORD0027680,SKU011251,2025-03-26,wrong item sent,1429.48,Processed
RET000312,ORD0105455,SKU000063,2026-06-18,fabric quality bad,854.07,Processed
RET000313,ORD0116071,SKU002153,2026-03-26,not durable,1098.07,Processed
RET000314,ORD0018746,SKU009630,2025-01-30,broken on arrival,961.85,Processed
RET000315,ORD0048611,SKU004162,2026-02-01,SIZE PROBLEM,712.49,Processed
RET000316,ORD0082518,SKU000658,2026-12-06,no longer needed,238.19,Pending
RET000317,ORD0109601,SKU003975,2025-05-05,wrong colour delivered,369.04,Processed
RET000318,ORD0115458,SKU009177,2026-01-03,stopped working after a day,352.56,Processed
RET000319,ORD0011723,SKU007818,2025-01-22,size too small,920.8,Processed
RET000320,ORD0088573,SKU007171,2025-10-02,cheap material,491.21,Processed
RET000321,ORD0001118,SKU006465,2026-02-07,size too small,548.02,Processed
RET000322,ORD0027626,SKU006965,2026-01-07,battery dead,263.18,Processed
RET000323,ORD0017487,SKU003427,2026-07-09,received different product,815.09,Processed
RET000324,ORD0081961,SKU008987,2026-01-31,not durable,198.87,Processed
RET000325,ORD0045616,SKU004813,2025-01-20,Damaged in transit,256.02,Processed
RET000326,ORD0022590,SKU007555,2026-06-19,ordered by mistake,405.48,Processed
RET000327,ORD0106022,SKU010759,2025-05-10,didnt fit,383.36,Processed
RET000328,ORD0051107,SKU000824,2025-08-26,arrived damaged!!,255.31,Processed
RET000329,ORD0013969,SKU007754,2025-12-12,not as described,1248.63,Processed
RET000330,ORD0016227,SKU006705,2026-06-27,Damaged in transit,307.46,Processed
RET000331,ORD0008367,SKU011871,2026-03-06,SIZE PROBLEM,401.5,Processed
RET000332,ORD0111365,SKU010385,2026-03-08,no longer needed,1024.91,Processed
RET000333,ORD0074069,SKU008772,2025-01-28,stopped working after a day,413.06,Processed
RET000334,ORD0040133,SKU003214,2025-04-06,size too small,247.38,Processed
RET000335,ORD0067731,SKU012075,2026-04-20,not durable,2384.96,Processed
RET000336,ORD0101224,SKU005092,2026-01-08,broken on arrival,5586.28,Rejected
RET000337,ORD0113389,SKU003887,2025-10-18,fabric quality bad,131.49,Processed
RET000338,ORD0074984,SKU012451,2026-04-06,arrived damaged!!,998.07,Processed
RET000339,ORD0119166,SKU004598,2025-03-08,product was cracked,477.77,Processed
RET000340,ORD0005499,SKU002737,2025-06-28,not durable,1553.19,Pending
RET000341,ORD0035714,SKU000015,2025-04-08,late delivery no longer needed,350.85,Processed
RET000342,ORD0103133,SKU011815,2025-10-13,item damaged,848.35,Processed
RET000343,ORD0024071,SKU004465,2026-03-06,Quality issue,1370.9,Processed
RET000344,ORD0118030,SKU005163,2026-01-03,found cheaper elsewhere,623.22,Processed
RET000345,ORD0047010,SKU006632,2026-02-12,looks different online,306.87,Processed
RET000346,ORD0087861,SKU011841,2025-02-22,fabric quality bad,1293.15,Processed
